family_id,instance_id,policy_id,performance
w2_c200_uneven,31,deep_q_networks,13278.25
w2_c200_uneven,32,deep_q_networks,14700.81
w2_c200_uneven,33,deep_q_networks,14572.83
w2_c200_uneven,34,deep_q_networks,13309.37
w2_c200_uneven,35,deep_q_networks,13742.39
w2_c200_uneven,36,deep_q_networks,13406.51
w2_c200_uneven,37,deep_q_networks,13811.64
w2_c200_uneven,38,deep_q_networks,14019.66
w2_c200_uneven,39,deep_q_networks,14458.48
w2_c200_uneven,40,deep_q_networks,13860.33
w2_c200_uneven,41,deep_q_networks,13224.87
w2_c200_uneven,42,deep_q_networks,14235.15
w2_c200_uneven,43,deep_q_networks,13359.02
w2_c200_uneven,44,deep_q_networks,13843.09
w2_c200_uneven,45,deep_q_networks,13327.39
w2_c200_uneven,46,deep_q_networks,13147.68
w2_c200_uneven,47,deep_q_networks,14748.15
w2_c200_uneven,48,deep_q_networks,14371.93
w2_c200_uneven,49,deep_q_networks,13073.52
w2_c200_uneven,50,deep_q_networks,13155.28
w2_c200_uneven,51,deep_q_networks,13576.11
w2_c200_uneven,52,deep_q_networks,13765.98
w2_c200_uneven,53,deep_q_networks,13291.86
w2_c200_uneven,54,deep_q_networks,14689.62
w2_c200_uneven,55,deep_q_networks,12260.37
w2_c200_uneven,56,deep_q_networks,13359.36
w2_c200_uneven,57,deep_q_networks,13737.66
w2_c200_uneven,58,deep_q_networks,12711.28
w2_c200_uneven,59,deep_q_networks,13422.8
w2_c200_uneven,60,deep_q_networks,14394.69
w2_c200_uneven,61,deep_q_networks,14018.23
w2_c200_uneven,62,deep_q_networks,14309.44
w2_c200_uneven,63,deep_q_networks,13801.79
w2_c200_uneven,64,deep_q_networks,13675.59
w2_c200_uneven,65,deep_q_networks,12934.16
w2_c200_uneven,66,deep_q_networks,13612.08
w2_c200_uneven,67,deep_q_networks,14645.64
w2_c200_uneven,68,deep_q_networks,14236.12
w2_c200_uneven,69,deep_q_networks,13960.94
w2_c200_uneven,70,deep_q_networks,13751.46
w2_c200_uneven,71,deep_q_networks,13672.83
w2_c200_uneven,72,deep_q_networks,14102.79
w2_c200_uneven,73,deep_q_networks,14076.23
w2_c200_uneven,74,deep_q_networks,12677.18
w2_c200_uneven,75,deep_q_networks,14038.21
w2_c200_uneven,76,deep_q_networks,13634.18
w2_c200_uneven,77,deep_q_networks,14292.71
w2_c200_uneven,78,deep_q_networks,12818.33
w2_c200_uneven,79,deep_q_networks,14422.17
w2_c200_uneven,80,deep_q_networks,13473.94
w2_c200_uneven,81,deep_q_networks,14218.27
w2_c200_uneven,82,deep_q_networks,14420.17
w2_c200_uneven,83,deep_q_networks,13790.48
w2_c200_uneven,84,deep_q_networks,13534.49
w2_c200_uneven,85,deep_q_networks,12822.15
w2_c200_uneven,86,deep_q_networks,15129.83
w2_c200_uneven,87,deep_q_networks,13850.64
w2_c200_uneven,88,deep_q_networks,14451.27
w2_c200_uneven,89,deep_q_networks,14023.71
w2_c200_uneven,90,deep_q_networks,14428.24
w2_c200_uneven,91,deep_q_networks,13703.74
w2_c200_uneven,92,deep_q_networks,14575.88
