max_depth,generation,id,individual,fitness
4,2,20,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-2805.552211226606
4,2,21,"sub(DISTANCE, div(CAPACITY, CAPACITY))",-6566.020327020464
4,2,22,"sub(DISTANCE, INITIAL_CAPACITY)",-6559.3858059728245
4,2,23,"div(div(sub(DISTANCE, CAPACITY), mult(DISTANCE, CAPACITY)), sub(add(DISTANCE, INITIAL_CAPACITY), div(INITIAL_CAPACITY, DISTANCE)))",-4220.888969446233
4,2,24,INITIAL_CAPACITY,-3811.147489705553
4,2,25,"sub(INITIAL_CAPACITY, CAPACITY)",-4667.370090455357
4,2,26,CAPACITY,-3588.788280293496
4,2,27,"sub(DISTANCE, CAPACITY)",-6525.051111511678
4,2,28,"div(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,29,"sub(INITIAL_CAPACITY, DISTANCE)",-2779.231825447397
4,2,30,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-3350.1956900593113
4,2,31,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,32,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,33,"sub(div(div(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), INITIAL_CAPACITY), DISTANCE)",-2778.8174254325213
4,2,34,"sub(INITIAL_CAPACITY, INITIAL_CAPACITY)",-2778.8174254325213
4,2,35,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), CAPACITY), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-2787.609263926241
4,2,36,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,37,CAPACITY,-3588.788280293496
4,2,38,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(sub(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-2764.473918187733
4,2,39,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,40,"mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, DISTANCE))",-2790.1071500705866
4,2,41,"add(div(add(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY)), add(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY)))",-4701.509389722258
